,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,,ID,Expiration,Certification Body,Certification Address,Certification Contact
75,Ethiopia,Bisrat Melaku Washing Station,0065,Washing Station,010/ 0218/0065,Tadesse Desta import export,2361,Addis Ababa,Bisrat Melaku,320,60 kg,METAD Agricultural Development plc,2021 / 2022,"September 19th, 2022",Tadesse Desta,Ethiopian Heirlooms,Completed,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,7.75,0.0,84.33,11 %,0 full defects,5,Yellow Green,4 full defects,,510790,"September 19th, 2023",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
76,United States (Hawaii),Miranda's Farm,Islander’s Coffee for Pacific Rim Summit,Greenwell,,Taiwan Coffee Laboratory,1300,Ka'u district of Big Island,Jose & Berta Miranda,10,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 9th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Catuai,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,7.75,0.0,84.33,10.1 %,3 full defects,0,Yellow-green,7 full defects,,489089,"November 9th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
77,El Salvador,San Nicolas,"The 2022 Pacific Rim Coffee Summit,SV01",San Nicolas,,Taiwan Coffee Laboratory,1500,Chalatenango,various producers,20,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Pacamara,Completed,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.67,0.0,84.33,10.3 %,0 full defects,0,brownish,4 full defects,,203399,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
78,Colombia,Asociacion Tayronaca,NPCO-17418,Trilladora Santa Tirsa,,Sucafina NA,2100,Sierra Nevada de Santa Marta,Grupo Tap,275,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,"May 11th, 2022",Sucafina Colombia SAS,Castillo and Colombia blend,Completed,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,7.83,0.0,84.33,11.6 %,0 full defects,0,Green,1 full defects,,869269,"May 11th, 2023",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
79,Brazil,IBIRACI REGIONAL,43107088 - P8313,DRY MILL,002/4542/0459,BOURBON SPECIALTY COFFEES,1200,Ibiraci,IBIRACI REGIONALS,325,59 kg,Brazil Specialty Coffee Association,2021 / 2022,"March 15th, 2022",Bourbon Specialty Coffees SA,Mixed,Completed,Natural / Dry,7.83,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.67,0.0,84.33,11.5 %,0 full defects,0,Green,2 full defects,,0,"March 15th, 2023",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
80,Taiwan,仙井咖啡莊園Xianjing Coffee Estate,GN07,仙井咖啡莊園Xianjing Coffee Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣番路鄉 Fanlu Township, Chiayi County",范書易 ShuYi Fan,1,14 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",SHU YI FAN 范書易,Gesha,Completed,Natural / Dry,8.0,8.0,7.58,7.83,7.5,7.58,10.0,10.0,10.0,7.75,0.0,84.25,11.8 %,0 full defects,0,Green,0 full defects,,647749,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
81,Indonesia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",CQU2022018,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",,Coffee Quality Union,1250-1350,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara","Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,"Jember,TIM-TIM,Ateng",Completed,Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,7.83,0.0,84.25,11.5 %,0 full defects,1,Blue-Green,1 full defects,,586625,"September 21st, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
82,Madagascar,Mandroso,1,On the farm (mechanical huller and polisher / sorting by hand),,Vao Vao Sarl,1500,Itasy,Marc Dumont,5,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"December 12th, 2022",Marc Dumont,Bourbon,Completed,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.25,12.1 %,0 full defects,0,Blue-Green,0 full defects,,955194,"December 12th, 2023",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81
83,Colombia,Huila,3-0960-00750,Sucafina Trilladora Neiva,CL-384,Sucafina Colombia SAS,1600,Huila,Sucafina Colombia,275,19250 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,"January 12th, 2023",Sucafina Colombia SAS,,Completed,Washed / Wet,7.75,7.67,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.08,11.9 %,0 full defects,0,Green,0 full defects,,882894,"January 12th, 2024",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
84,Taiwan,竹崙子莊園,A32-Northern Taiwan Specialty Coffee Evaluation,竹崙子莊園,,Taiwu Coffee Cooperative,150,新北市,邱建明,1,110 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,84.08,10.8 %,0 full defects,0,Greenish,2 full defects,,114041,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
85,Kenya,Various farms,3257609,Thika Coffee Mills,,Swift Thirty-Six Enterprises Limited,1790,Kenya,Various Co-operatives,245,60 kg,Kenya Coffee Traders Association,2021 / 2022,"March 25th, 2022",Evans Ochieng Ogemba,SL28,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.0,84.08,9.2 %,8 full defects,0,Greenish,6 full defects,,505329,"March 25th, 2023",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
86,Guatemala,san francisco cotzal,11/441/49,"inmobiliaria e inversiones dos mil, s.a.",11/441/49,"inmobiliaria e inversiones dos mil, s.a.",1600,quiche,san francisco cotzal,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,7.75,0.0,84.08,11 %,0 full defects,3,Green,2 full defects,,373402,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
87,Uganda,FULUMA HILL- Farm named Because this coffee is grown on Beautiful Volcanic Hill with wonderful cave,2- FULUMA HILL- (Hill Cave Coffee ),Mbale Importers And Exporters,,Mount Elgon Coffee And Honey Co-Operative LTD,1610,Manafwa Origin,Mount Elgon Coffee And Honey Co-Op,160,60 kg,Coffee Laboratory LTD,2021 / 2022,"May 10th, 2022",ROGERS WASIBI,SL14,Completed,Washed / Wet,7.33,7.83,7.5,7.83,7.92,7.75,10.0,10.0,10.0,7.92,0.0,84.08,11.3 %,0 full defects,4,Green,3 full defects,,386303,"May 10th, 2023",Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937
88,Taiwan,元富咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T017",元富咖啡莊園,,Taiwan Coffee Laboratory,800,Yunlin,李泓錡,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,7.92,0.0,84.08,10.6 %,0 full defects,0,yello-green,0 full defects,,988330,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
89,Taiwan,青葉咖啡Chingye Coffee,120223,青葉咖啡Chingye Coffee,,Taiwan Coffee Laboratory,1000,"嘉義縣梅山鄉 Meishan Township, Chiayi County","葉世遠 Yeh, Shin-Yuan",1,65 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",Ye Cheng Jiun,SL34,Completed,Natural / Dry,7.92,7.83,7.67,7.75,7.83,7.5,10.0,10.0,10.0,7.5,0.0,84.0,10.6 %,0 full defects,0,Green,1 full defects,,709583,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
90,Colombia,COO,3-002-00883,Laumayer Armenia,,InterAmerican Coffee,1400-1700,Huila,Cooperativa Central de Caficultores del Huila,275,70 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"July 27th, 2022",Charles Umeano,Caturra,Completed,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,0.0,84.0,13.3 %,0 full defects,2,Green,3 full defects,,119514,"July 27th, 2023",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81
91,Honduras,finca de la casa,"The 2022 Pacific Rim Coffee Summit,HN04",De la casa,,Taiwan Coffee Laboratory,1800,"San Andrés, Lempira",Irma Consuelo Bonilla Hernandez,16,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022","Kao,SIng-jay",Typica,Completed,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,84.0,9.4 %,0 full defects,0,Green,0 full defects,,529473,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
92,"Tanzania, United Republic Of",KONGONI ESTATE,CN 4127230031/P-9139,RAFIKI MILL,033/DE/491/001,C.DORMAN SEZ LTD,1600-1750,ARUSHA,DORMAN (T) LTD,200,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.0,9.8 %,0 full defects,0,Greenish,3 full defects,,778301,"January 3rd, 2024",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
93,Ethiopia,Ecom Agroindustrial,1077,Beneficio humedo,010-0424-0586,Descafeinadores Mexicano SA. de CV,1800,Sidama,Ecom Agroindustrial,300,60 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"November 18th, 2022",Descafeinadores Mexicanos S.A de C.V,Ethiopian Heirlooms,Completed,Washed / Wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,84.0,11.3 %,1 full defects,1,Green,1 full defects,,791934,"November 18th, 2023",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
94,"Tanzania, United Republic Of",MASHIMA AMCOS,CN 4127220159/4189220459,GOURMET COFFEE MILL,033/0010/022,DORMAN (T) LTD,1400-1700,KILIMANJARO,DORMAN,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"November 21st, 2022",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.0,11.6 %,0 full defects,0,Greenish,2 full defects,,605124,"November 21st, 2023",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
95,Taiwan,一品咖啡園Yi Pin Coffee Estate,220106,一品咖啡園Yi Pin Coffee Estate,,Taiwan Coffee Laboratory,1000,"嘉義縣中埔鄉 Zhongpu Township, Chiayi County","林姿儀 Lin, Tzu-Yi",1,14 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"April 6th, 2022",Tzu Yi Lin 林姿儀,SL34,Completed,Natural / Dry,7.92,7.75,7.75,7.75,7.58,7.58,10.0,10.0,10.0,7.67,0.0,84.0,10.4 %,0 full defects,0,Green,0 full defects,,541059,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
96,Thailand,Baan San Charoen,CQU2022016,Baan San Charoen,,Coffee Quality Union,1300-1400,Nan,Phaibul Kitcharoen,1,30 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,Catimor,Completed,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.75,0.0,83.92,11.6 %,0 full defects,0,yellowish,3 full defects,,279151,"September 21st, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
97,Guatemala,El Morito,"The 2022 Pacific Rim Coffee Summit,GT01",Sube,,Taiwan Coffee Laboratory,1900,New Oriente,Various producers,1,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.75,0.0,83.92,11.9 %,0 full defects,0,greenish,0 full defects,,903758,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
98,Ethiopia,Gerbicho Lela Cooperative,1,Sidama Coffee Farmers Cooperative Union,010/0145/0064,Taylor Winch Coffee Ltd,2000,Sidama,Sidama Coffee Farmers Cooperative Union,100,60 kg,Kenya Coffee Traders Association,2021 / 2022,"September 9th, 2022",Taylor Winch (Coffee) Ltd.,Ethiopian Heirlooms,Completed,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,7.75,0.0,83.83,12 %,0 full defects,0,Green,12 full defects,,656708,"September 9th, 2023",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
99,Taiwan,琥珀社咖啡莊園 Amber Coffee Estate,L13A0102,琥珀社咖啡莊園 Amber Coffee Estate,,Taiwan Coffee Laboratory,1025,"嘉義縣梅山鄉 Meishan Township, Chiayi County","陳合德 Chen, Ho-Te",1,68 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",Chen Ho-Te 陳合德,SL34,Completed,Natural / Dry,7.75,7.67,7.58,7.83,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.83,9.6 %,0 full defects,0,Blue-Green,0 full defects,,725292,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
100,United States (Hawaii),various farms,"The 2022 Pacific Rim Coffee Summit,US02",Aloha Hills Kona Coffee,,Taiwan Coffee Laboratory,400-600,Ka'u,Isla Custom Coffees,4,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,7.75,0.0,83.83,11.8 %,0 full defects,3,Green,3 full defects,,187142,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
101,Guatemala,SAN RAFAEL URIAS VALDES,AMNI-22-0905,"BENEFICIO SANTA RITA, S. A.",11/54876/01,Asociación Nacional del Cafe,4895 A 5650,ANTIGUA GUATEMALA,"VALBROS, S. A.",635,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Bourbon,Completed,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,7.75,0.0,83.83,10.9 %,0 full defects,1,GREENISH,4 full defects,,732824,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
102,Guatemala,FINCA ALTA LUZ,11/63/908,,11/63/908,"RETRILLAS DEL PACIFICO, S. A.",1400,HUEHUETENANGO,MARIA DE LOS ANGELES PEREZ,600,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 13th, 2022",Angelica Paola Citan Lopez,"BOURBON, CATURRA Y CATIMOR",Completed,Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,83.83,10.8 %,0 full defects,0,Green,4 full defects,,831154,"May 13th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
103,Colombia,N / A,3-0068-00886,Trilladora Popayán,3-0068-00886,ECOM COLOMBIA,1700,Cauca,Regional producers,285,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,"February 22nd, 2023",Raúl Vargas,Caturra,Completed,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,7.58,0.0,83.83,12.1 %,2 full defects,5,Green,5 full defects,,858598,"February 22nd, 2024",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
104,Guatemala,VARIAS FINCAS,2022.65.1,VARIOS BENEFICIOS,11/15/97,Asociación Nacional del Cafe,1600,HUEHUETENANGO,VARIOS PRODUCTORES,600,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 4th, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.83,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.0,83.83,10.3 %,0 full defects,0,Green,1 full defects,,587405,"May 4th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
105,Colombia,La Gallera,"The 2022 Pacific Rim Coffee Summit,CO02",La Gallera,,Taiwan Coffee Laboratory,1800,Tolima,Oscar Javier Paez & Family,40,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",PeiHsun Lin,Bourbon Sidra,Completed,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.58,0.0,83.75,10.6 %,0 full defects,0,greenish,1 full defects,,693585,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
106,Honduras,Maria Bonita,"The 2022 Pacific Rim Coffee Summit,HN01","Cafe Organic Marcala, S.A. (COMSA)",,Taiwan Coffee Laboratory,1470,"San Jose, La Paz",Pedro Turcios,9,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Parainema,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,11.1 %,0 full defects,2,pale yellow,1 full defects,,154686,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
107,Taiwan,鄒築園Zou Zhou Yuan,2022035,鄒築園Zou Zhou Yuan,,Taiwan Coffee Laboratory,1300,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","方政倫 Fang, Cheng-Lun",1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022","Fang, Cheng Lun 方政倫",Typica,Completed,Natural / Dry,7.75,7.67,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.67,0.0,83.67,12.8 %,0 full defects,0,Green,0 full defects,,915147,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
108,Taiwan,永舜咖啡莊園,202203,yes,non,Yongshun,1250,"Caoling , Gukeng Township, Yunlin County",蘇甘永,50,2 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022",Yongshun,SL34,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,10 %,0 full defects,0,Bluish-Green,0 full defects,,356700,"October 24th, 2023",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
109,Uganda,Bushimwemwe Firefly,3-Bushimwemwe Firefly Cofffee,Mbale Importers And Exporters,,Mount Elgon Coffee And Honey Co-Operative LTD,1920-2300,Bududa Origin,Mount Elgon Coffee And Honey Co-Op,320,60 kg,Coffee Laboratory LTD,2021 / 2022,"May 10th, 2022",ROGERS WASIBI,SL14,Completed,Washed / Wet,7.67,7.92,7.58,7.83,7.42,7.58,10.0,10.0,10.0,7.67,0.0,83.67,13.1 %,0 full defects,0,Green,0 full defects,,838174,"May 10th, 2023",Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937
110,Myanmar,Aromatic,"The 2022 Pacific Rim Coffee Summit,MM01",Aromatic,,Taiwan Coffee Laboratory,1400,South Shan State,Lim,100,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",PeiHsun Lin,"Catimor,Catuai,Caturra,Bourbon",Completed,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.67,10.2 %,0 full defects,1,Pale Yellow,1 full defects,,125800,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
111,Colombia,,,,,Coffee Quality Institute,,,,1,1 kg,Barista and Coffee Academy of Asia,2022,"September 26th, 2022",Coffee Quality Institute,,Completed,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,12.4 %,1 full defects,0,Greenish,9 full defects,,274853,"September 26th, 2023",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688
112,Taiwan,恆珊農場,A05-Northern Taiwan Specialty Coffee Evaluation,恆珊農場,,Taiwu Coffee Cooperative,200-400,新竹縣,羅以珊,1,13 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,9.2 %,0 full defects,0,Greenish,0 full defects,,127584,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
113,Mexico,PLUMA HIDALGO,016-2823-019,DRY MILL,,COSECHA BIENESTAR SAPI CV,1300,PLUMA,COSECHA BIENESTAR SAPI CV,275,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"May 4th, 2022",GILBERTO GOMEZ RONZON,Typica,Completed,Natural / Dry,7.67,7.75,7.58,7.75,7.5,7.58,10.0,10.0,10.0,7.75,0.0,83.58,12.5 %,0 full defects,0,Green,0 full defects,,286334,"May 4th, 2023",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
